video_id,Author,Comment,published_at,likes,Topic
ffsDrFNr9xs,@doesong12,אוף אתה כל כך טוב אז למה להכניס כל משפט שני קללה זה הורס שניה אחת אני צוחקת שניה אחת אני כזה אויש נווו זה מבאס אני לא יודעת אם לצחוק או לבכות ואני כותבת אחרי שהתחלתי סטנדאפ אחר שלך שהיה מוגזם בקללות אז לא המשכתי לראות אבל זה היה שווה צפיה עד הסוף,2024-06-22T21:31:38Z,13,Humor
ffsDrFNr9xs,@עידןטורנגי,איזה תותח על,2024-06-17T10:07:16Z,3,Humor
cyBZUxWU618,@LostCentury25,כן כן ואז באים יורים ו לוחמים נופלים כי הם כן נחושים להרוג רחפני גולני זיק לא ירו כי מדברים יותר מלעשות,2026-01-08T07:33:06Z,0,Geopolitics
cyBZUxWU618,@יצחקכהן-ע8נ,טל ספר טלקון,2025-12-31T07:51:19Z,0,Geopolitics
cyBZUxWU618,@danielmichaeli9114,איזה תקלה חמורה איזה סיבה יש שבגללה מלטה לא ירה,2025-10-03T19:19:24Z,0,Geopolitics
cyBZUxWU618,@שפרהוגנר,רק להרוג אותם לא לחכות,2025-09-17T04:54:33Z,0,Geopolitics
cyBZUxWU618,@guys2532,סוף סוף מגדילים את שטח מדינת ישראל עם ישראל חי,2025-08-08T11:27:17Z,2,Geopolitics
cyBZUxWU618,@iliyadey_1986,אני רואה שהפעם אם צבא ישראל ייצא למלחמה עם איראן האיראנים ימחקו את ישראל אפילו לא הצלחנו לעשות כלום נגד חמאס ולהביס אותם שהם קבוצה קטנה איך נוכל לנצח מול איראן חזקה וגדולה עם אנשיה האמיצים בואו לא נשכח שהאיראנים הם ציוויליזציה גדולה עלי אדמות והמדינה הזו היא המדינה היחידה שתוקפת בקלות את אמריקה ופסיבית כלפי אמריקה וטראמפ,2025-08-06T18:53:00Z,0,Geopolitics
cyBZUxWU618,@iliyadey_1986,חיילינו במתקפה האיראנית לכלכו את מכנסיהם וגנחו מפחד עם כל טיל שירה איראן הגדולה והחזקה,2025-08-06T18:49:38Z,0,Geopolitics
cyBZUxWU618,@GidonDratler-g2b,רוצים לנצח את החמאס כן כן,2025-08-06T17:03:04Z,0,Geopolitics
cyBZUxWU618,@guys2532,מחזירים את גוש קטיף,2025-08-06T10:53:53Z,1,Geopolitics
cyBZUxWU618,@guys2532,עם ישראל חי גאים להיות יהודים בארץ ישראל,2025-08-06T10:53:35Z,8,Geopolitics
t8waLH3o8gM,@RealGoldenShow,בואו להקרנה של הסרט חמישה לילות אצל פרדי איתי,2025-12-02T14:02:26Z,19,Pop Culture
t8waLH3o8gM,@ת-ליאלארצי,למה הקפקייק של צ׳יקה לא הורג אתנו,2026-01-24T11:31:41Z,0,Pop Culture
t8waLH3o8gM,@noampozailove,תמשיכו אותי הר הר הר הר,2026-01-17T10:21:41Z,0,Pop Culture
t8waLH3o8gM,@NittaiTherian,אתה מכיר את סאנדרופ ומודרופ,2026-01-16T15:24:11Z,0,Pop Culture
t8waLH3o8gM,@BoxyHandle,מה הקטע של התיבה,2026-01-02T06:45:13Z,0,Pop Culture
t8waLH3o8gM,@dingobingo9831,הסיפור היה צריך להיגמר אחרי כי שם יש את הסוף המושלם ואז זה אפילוג כי מראים את הגהנום של אפטון,2025-12-23T14:49:16Z,1,Pop Culture
t8waLH3o8gM,@bugsisnews,חשבתי אורן להב,2025-12-19T23:28:43Z,0,Pop Culture
t8waLH3o8gM,@superpandaman8241,מתי ביקורת לסרט השני,2025-12-17T21:27:17Z,0,Pop Culture
t8waLH3o8gM,@thedarkmode-c3n,בלילה יש את הקד ואת האירוי ואת הפרחים כי זה העינוי של הרוח של הילד גולדן פרדי על אח שלו מייק שגרם למותו יש לזה כל כך הרבה תאוריות שניראות לי הרבה יותר הגיוניות מתאוריית החלום,2025-12-16T20:53:24Z,1,Pop Culture
t8waLH3o8gM,@omerso2030-zh5qq,כן אה זה באמת רנ סאנס,2025-12-16T10:35:27Z,1,Pop Culture
